_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_030,gp,Remote_Skin_Material_2030,
block_2_normal,res/game_cube_2_material_030,gp,Remote_Skin_Material_2030,
block_3_normal,res/game_cube_3_material_030,gp,Remote_Skin_Material_2030,
block_4_normal,res/game_cube_4_material_030,gp,Remote_Skin_Material_2030,
block_5_normal,res/game_cube_5_material_030,gp,Remote_Skin_Material_2030,
block_6_normal,res/game_cube_6_material_030,gp,Remote_Skin_Material_2030,
block_7_normal,res/game_cube_7_material_030,gp,Remote_Skin_Material_2030,
block_shadow,res/block_shadow_material_030,gp,Remote_Skin_Material_2030,
board_bg,res/gameplay_board_bg,gp,Remote_Skin_Material_2030,
game_bg,res/gameplay_bg,gp,Remote_Skin_Material_2030,
combo_sprite,res/playgame_img_material_030,gp,Remote_Skin_Material_2030,
combo_font,font/playgame_num_high_material_030,gp,Remote_Skin_Material_2030,
combo_effect,effect/comb_030,gp,Remote_Skin_Material_2030,Armature
encourage_effect,effect/encourage_030,gp,Remote_Skin_Material_2030,
combo_tips_effect,effect/comnb_030,gp,Remote_Skin_Material_2030,
eliminate_effect,effect/xc_030,gp,Remote_Skin_Material_2030,
eliminate_prompt_effect,effect/gameplay_eliminatePrompt_030,gp,Remote_Skin_Material_2030,
combo_tips_font,font/txt_jiafen_030,gp,Remote_Skin_Material_2030,
block_put_effect,effect/gameplay_spine_blocklight_plan1,gp,Remote_Skin_Material_2030,
