_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_011,gp,Remote_Skin_Material_2011,
block_2_normal,res/game_cube_2_material_011,gp,Remote_Skin_Material_2011,
block_3_normal,res/game_cube_3_material_011,gp,Remote_Skin_Material_2011,
block_4_normal,res/game_cube_4_material_011,gp,Remote_Skin_Material_2011,
block_5_normal,res/game_cube_5_material_011,gp,Remote_Skin_Material_2011,
block_6_normal,res/game_cube_6_material_011,gp,Remote_Skin_Material_2011,
block_7_normal,res/game_cube_7_material_011,gp,Remote_Skin_Material_2011,
block_shadow,res/block_shadow_material_011,gp,Remote_Skin_Material_2011,
board_bg,res/gameplay_board_bg,gp,Remote_Skin_Material_2011,
game_bg,res/gameplay_bg,gp,Remote_Skin_Material_2011,
crown,res/backgroundscore_highest3_material_011,gp,Remote_Skin_Material_2011,
score_bg,res/score_bg_material_011,gp,Remote_Skin_Material_2011,
score_font,font/num_score,gp,Remote_Skin_Material_2011,
setting_btn,res/backgroundstop_material_011,gp,Remote_Skin_Material_2011,
setting_close_btn,res/set_btn_close_material_011,gp,Remote_Skin_Material_2011,
setting_title,res/setting_txt_settings_material_011,gp,Remote_Skin_Material_2011,
setting_line,res/setting_bg_line_material_011,gp,Remote_Skin_Material_2011,
setting_out_bg,res/set_up_bg_out,gp,Remote_Skin_Material_2011,
setting_in_bg,res/set_up_bg_in,gp,Remote_Skin_Material_2011,
setting_bottom_btn_bg,res/btn_setCommonup_material_011,gp,Remote_Skin_Material_2011,
setting_btn_home_txt,res/setting_txt_homeUp_material_011,gp,Remote_Skin_Material_2011,
setting_btn_home_icon,res/setting_icon_homeUp_material_011,gp,Remote_Skin_Material_2011,
setting_btn_moreGames_txt,res/setting_txt_moreGamesup_material_011,gp,Remote_Skin_Material_2011,
setting_btn_moreGames_icon,res/setting_icon_moreGamesup_material_011,gp,Remote_Skin_Material_2011,
setting_btn_moreSettings_txt,res/setting_txt_moreSettingsup_material_011,gp,Remote_Skin_Material_2011,
setting_btn_moreSettings_icon,res/setting_icon_moreSettingsup,gp,Remote_Skin_Material_2011,
setting_btn_replay_txt,res/setting_txt_replayUp_material_011,gp,Remote_Skin_Material_2011,
setting_btn_replay_icon,res/setting_icon_replayUp_material_011,gp,Remote_Skin_Material_2011,
setting_btn_SetAddDefultSkinBtn_txt,res/setting_txt_defauilSkinup_material_011,gp,Remote_Skin_Material_2011,
setting_btn_SetAddDefultSkinBtn_icon,res/setting_icon_defauilSkinup_material_011,gp,Remote_Skin_Material_2011,
revive_btn_effect,effect/shipinbt_011,gp,Remote_Skin_Material_2011,
revive_round_bg,res/die_quan_bg_material_011,gp,Remote_Skin_Material_2011,
revive_round_progress,res/die_quan_material_011,gp,Remote_Skin_Material_2011,
combo_sprite,res/combo,gp,Remote_Skin_Material_2011,
combo_font,font/num_combo,gp,Remote_Skin_Material_2011,
high_score_font,font/num_highScore,gp,Remote_Skin_Material_2011,
ck_effect,effect/CK_011,gp,Remote_Skin_Material_2011,
combo_effect,effect/comb_011,gp,Remote_Skin_Material_2011,Armature
encourage_effect,effect/encourage_011,gp,Remote_Skin_Material_2011,
revive_effect,effect/fuhuoshuzi_011,gp,Remote_Skin_Material_2011,
combo_tips_effect,effect/comnb_011,gp,Remote_Skin_Material_2011,
eliminate_prompt_effect,effect/gameplay_eliminatePrompt_011,gp,Remote_Skin_Material_2011,
eliminate_effect,effect/xc_011,gp,Remote_Skin_Material_2011,
