_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_019,gp,Remote_Skin_Material_2019,
block_2_normal,res/game_cube_2_material_019,gp,Remote_Skin_Material_2019,
block_3_normal,res/game_cube_3_material_019,gp,Remote_Skin_Material_2019,
block_4_normal,res/game_cube_4_material_019,gp,Remote_Skin_Material_2019,
block_5_normal,res/game_cube_5_material_019,gp,Remote_Skin_Material_2019,
block_6_normal,res/game_cube_6_material_019,gp,Remote_Skin_Material_2019,
block_7_normal,res/game_cube_7_material_019,gp,Remote_Skin_Material_2019,
block_shadow,res/game_cube_shadow9_material_019,gp,Remote_Skin_Material_2019,
board_bg,res/gameplay_board_bg,gp,Remote_Skin_Material_2019,
game_bg,res/gameplay_bg,gp,Remote_Skin_Material_2019,
crown,res/backgroundscore_highest3_material_019,gp,Remote_Skin_Material_2019,
setting_btn,res/backgroundstop_material_019,gp,Remote_Skin_Material_2019,
setting_close_btn,res/BtnClose,gp,Remote_Skin_Material_2019,
combo_sprite,res/combo_txt_material_019,gp,Remote_Skin_Material_2019,
combo_font,font/combo_material_019,gp,Remote_Skin_Material_2019,
combo_effect,effect/comb_019,gp,Remote_Skin_Material_2019,Armature
encourage_effect,effect/encourage_019,gp,Remote_Skin_Material_2019,
eliminate_effect,effect/xc_019,gp,Remote_Skin_Material_2019,
