_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_033,gp,Remote_Skin_Material_2033,
block_2_normal,res/game_cube_2_material_033,gp,Remote_Skin_Material_2033,
block_3_normal,res/game_cube_3_material_033,gp,Remote_Skin_Material_2033,
block_4_normal,res/game_cube_4_material_033,gp,Remote_Skin_Material_2033,
block_5_normal,res/game_cube_5_material_033,gp,Remote_Skin_Material_2033,
block_6_normal,res/game_cube_6_material_033,gp,Remote_Skin_Material_2033,
block_7_normal,res/game_cube_7_material_033,gp,Remote_Skin_Material_2033,
revive_round_bg,res/die_quan_bg_material_033,gp,Remote_Skin_Material_2033,
board_bg,res/backgroundkuai-8x8_material_033,gp,Remote_Skin_Material_2033,
game_bg,res/backgroundbg_material_033,gp,Remote_Skin_Material_2033,
setting_btn,res/backgroundstop_material_033,gp,Remote_Skin_Material_2033,
setting_line,res/bg_setting_line_material_033,gp,Remote_Skin_Material_2033,
setting_out_bg,res/bg_setting_material_033_2,gp,Remote_Skin_Material_2033,
setting_in_bg,res/bg_setting_material_033,gp,Remote_Skin_Material_2033,
combo_sprite,res/combo_txt_material_033,gp,Remote_Skin_Material_2033,
combo_font,font/combo_fnt_material_033,gp,Remote_Skin_Material_2033,
combo_effect,effect/comb_033,gp,Remote_Skin_Material_2033,gameplay_dragonbone_combo_grade
encourage_effect,effect/encourage_033,gp,Remote_Skin_Material_2033,
combo_tips_effect,effect/comnb_033,gp,Remote_Skin_Material_2033,
eliminate_effect,effect/xc_033,gp,Remote_Skin_Material_2033,
eliminate_prompt_effect,effect/gameplay_eliminatePrompt_033,gp,Remote_Skin_Material_2033,
block_put_effect,effect/gameplay_spine_blocklight_033,gp,Remote_Skin_Material_2033,
